Robot ID,Country,Deployment Date,Date,Daily Task Volume,Procedure Time (mins),Daily Energy Consumption (kWh),Error Rate (%),Downtime (hrs),Maintenance Events,Task Success Rate (%),Predicted Maintenance Need,Patient Satisfaction Score,Cost per Task (USD),Hospital Type,Robot Operating Time (hrs)
Robot_USA_001,USA,2023-02-21,2023-02-21,33,79.52739326386423,80.17219002454924,2.984250789732435,0.8916655057071823,0,97.29624445982934,No,8.89257975040246,301.54084224878045,Specialty,6.486373774747933
Robot_USA_001,USA,2023-02-21,2023-02-22,25,196.72000759948347,65.04878444394528,0.03533152609858703,0.046124850082831514,0,96.99930485857628,Yes,7.570815333069441,1952.7599339146266,Teaching,8.192489889519251
Robot_USA_001,USA,2023-02-21,2023-02-23,48,168.84329837167513,63.31731119758382,0.23225206359998862,1.2150897038028767,0,95.3252579649264,No,7.899361310081195,1431.6194477218824,Teaching,9.782844631778207
Robot_USA_001,USA,2023-02-21,2023-02-24,48,163.69776573004296,13.094966900369656,4.546602010393911,0.5175599632000338,0,96.55855538044706,No,8.208306250206723,1184.0785028179034,Specialty,5.21919304718891
Robot_USA_001,USA,2023-02-21,2023-02-25,22,239.28586230750093,94.55490474077702,4.474136752138244,1.1957999576221703,1,95.4424625102596,No,8.384351717611759,899.6191214410676,Specialty,8.777844926723558
Robot_USA_001,USA,2023-02-21,2023-02-26,28,126.32339820726911,35.28410587186427,2.7134804157912424,0.2818484499495253,0,95.37275321839886,No,8.198896304410711,1590.0405847339835,Teaching,10.708229999183839
Robot_USA_001,USA,2023-02-21,2023-02-27,21,222.0623272421355,81.1157986478085,3.029799873905057,1.852601757026698,0,99.5747983777189,No,7.603664816870698,867.4728539568795,Specialty,7.276283254187229
Robot_USA_001,USA,2023-02-21,2023-02-28,39,189.65040268108632,34.72496136910578,2.806217129238506,0.7658537495075797,1,99.24456912133041,No,8.388012179493058,624.7728555481203,Specialty,8.456569174550735
Robot_USA_001,USA,2023-02-21,2023-03-01,13,221.87898021516258,19.98017387306482,2.1966825093288507,0.4034384046707924,0,97.37685111591055,No,7.71795217370016,1287.951282700071,Teaching,10.288857969801342
Robot_USA_001,USA,2023-02-21,2023-03-02,40,284.5704640506549,63.89789198396824,3.4739246651985227,1.7609356780305154,0,96.47816842918857,No,8.923943069790933,1021.7622268692385,Specialty,11.182961812432078
Robot_USA_001,USA,2023-02-21,2023-03-03,32,126.20041628078323,91.61455973911787,1.3606612469231765,1.2953802410827246,0,96.76284428167085,No,8.627012239371798,1072.6939484461698,General,5.83905757133578
Robot_USA_001,USA,2023-02-21,2023-03-04,48,95.91389100689902,25.14619379556375,1.093821097865351,1.1162040040346823,0,95.3244612355449,No,7.250556277200073,644.3769131094822,Teaching,8.480739541246699
Robot_USA_001,USA,2023-02-21,2023-03-05,41,106.90693348191625,13.319825261907951,3.047821669899484,1.005358046457723,0,96.39323232118306,No,7.9252907923866,1081.0149684996134,Specialty,6.694386900580503
Robot_USA_001,USA,2023-02-21,2023-03-06,8,51.83039810983312,43.2689010455264,1.2107996913871295,1.6062795127597917,0,99.91711570447421,No,8.078501779660117,1669.5773717948912,General,6.055022807758006
Robot_USA_001,USA,2023-02-21,2023-03-07,10,217.8694578335381,87.25229243323479,1.6297945260094238,0.4404820951310966,0,99.04750523069858,No,8.928012840989428,1707.8781906331903,Teaching,7.387464457351809
Robot_USA_001,USA,2023-02-21,2023-03-08,29,86.4493375991827,58.73031764448093,3.478921996725411,0.4571000435945993,0,99.91084171664718,No,7.0,669.4925146947362,General,5.651719374641295
